146;File;204	Q94261,P34339,Q95QW0,O02328,Q18967,Q9XWI6,O01974,D0PV95,O61820,Q19706,Q9XUP3,P30642,Q965S8
149;File;207	Q9N5K2,Q9N5M2,G5ECU1,Q9GZH2,Q17389
280;File;384	Q965S8,Q19706,P34339,Q9XWI6
27;File;39	P27798,P27420,P62784,Q9N584
94;File;131	Q9BKU4,Q21752,P50093
323;File;441	Q9N5R9,Q21831,G5EF53
51;File;67	O01258,Q9GYJ9,Q86D99
10;File;13	Q10013,G5EEL2,Q9NEW6,B3CJ34,P09446,Q17348,Q18786,P48727,Q19020,G5EFC4,Q10051
251;File;342	Q9NEW6,P49029,Q9BL61,O76512,Q21832
59;File;76	P90916,Q21831,P46580
101;File;144	Q10013,G5EG22,Q17348
120;File;171	G5EFC4,P09446,P90978,P91401,Q10051
24;File;36	Q9XWI6,Q19706,Q965S8
76;File;104	P54811,Q19584,P54812
47;File;62	P34574,P54812,P09446
62;File;82	O44156,O17586,Q27488
44;File;58	Q9U2X0,P46580,Q21018
163;File;224	Q03563,Q22307,P34369
254;File;347	Q9U1W8,Q23543,P92022,Q95XD4
49;File;65	Q09508,P11141,P50140
170;File;235	Q22307,P27420,Q9XUW5,Q18265,Q9NLD1
295;File;405	Q23255,P90978,O45244,Q93716,C1P629
265;File;362	G5EFF9,P34604,Q9BKU3
286;File;391	Q9NDC9,Q21215,Q09248,Q19020,G5EEM5,Q95XP9,O76447,Q9XXA2,E2JKZ0
165;File;226	Q965S8,P34339,O02328,Q19706,Q9XWI6
109;File;156	Q17391,G5ECU1,Q9GS00,Q17389
189;File;262	Q9N5R9,P28548,P18334
139;File;196	O17915,Q23463,P90916,Q21831,Q17963,G5EF53,Q9XWP6
17;File;22	Q17348,Q9XTU6,Q9N4G9
40;File;54	P10984,P09446,Q18688
187;File;257	P27420,Q22836,G5EFG4,Q9U2G0,Q95QN2,P34369,P54412,G5EFC4,Q23463
316;File;428	Q18405,Q9GZH2,Q19965
125;File;178	Q10013,G5EG22,P46580,Q17348
65;File;85	Q9NA26,O44158,O76258
176;File;242	O01479,P27420,O01422,Q9XXK1,Q18688,Q9N359,Q9GS00
